Horizon started successfully.
[2023-01-08 17:31:49][616] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:31:49][616] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:31:49][615] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:31:49][615] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:32:19][617] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:32:19][617] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:32:19][618] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:32:19][618] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:49:02][620] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:49:02][620] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:49:02][619] Processing: Modules\Tasks\Events\TaskCommentAdded
[2023-01-08 17:49:02][619] Processed:  Modules\Tasks\Events\TaskCommentAdded
[2023-01-08 17:49:56][622] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:49:56][622] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:49:56][621] Processing: Modules\Tasks\Events\TaskUpdated
[2023-01-08 17:49:56][621] Processed:  Modules\Tasks\Events\TaskUpdated
[2023-01-08 17:50:08][624] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:08][624] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:08][625] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:08][625] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:08][626] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:08][626] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:08][623] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:08][623] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][666] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][666] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][673] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][673] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][665] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][628] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][628] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][629] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][629] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][637] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][637] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][643] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][643] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][645] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][645] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][654] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][654] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][656] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][656] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][660] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][660] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][661] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][661] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][667] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][627] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][627] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][635] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][635] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][642] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][642] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][651] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][651] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][652] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][652] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][653] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][653] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][663] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][663] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][630] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][630] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][633] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][633] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][644] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][644] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][647] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][647] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][655] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][655] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][672] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][672] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-08 17:50:29][659] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-08 17:50:29][631] Processing: Modules\Tasks\Events\TaskStatusUpdated
